day, S, E, I, R
0, 10000, 0, 0, 0
1, 10000, 0, 0, 0
2, 10000, 0, 0, 0
3, 9999, 1, 0, 0
4, 9999, 1, 0, 0
5, 9999, 1, 0, 0
6, 9999, 1, 0, 0
7, 9999, 1, 0, 0
8, 9999, 1, 0, 0
9, 9999, 1, 0, 0
10, 9999, 1, 0, 0
11, 9999, 1, 0, 0
12, 9999, 1, 0, 0
13, 9999, 0, 1, 0
14, 9998, 1, 1, 0
15, 9997, 2, 1, 0
16, 9997, 2, 1, 0
17, 9997, 2, 0, 1
18, 9997, 2, 0, 1
19, 9997, 0, 2, 1
20, 9997, 0, 2, 1
21, 9995, 2, 1, 2
22, 9995, 2, 0, 3
23, 9992, 3, 2, 3
24, 9992, 3, 2, 3
25, 9972, 19, 3, 6
26, 9972, 19, 3, 6
27, 9972, 19, 3, 6
28, 9972, 19, 3, 6
29, 9972, 19, 3, 6
30, 9916, 49, 17, 18
31, 9916, 49, 17, 18
32, 9916, 49, 17, 18
33, 9840, 85, 43, 32
34, 9840, 85, 43, 32
35, 9840, 85, 43, 32
36, 9840, 85, 43, 32
37, 9646, 179, 98, 77
38, 9646, 179, 98, 77
39, 9646, 179, 98, 77
40, 9646, 179, 98, 77
41, 9646, 179, 98, 77
42, 9646, 179, 98, 77
43, 9646, 179, 98, 77
44, 9646, 179, 98, 77
45, 9646, 179, 98, 77
46, 9646, 179, 98, 77
47, 9646, 179, 98, 77
48, 9646, 179, 98, 77
49, 9646, 179, 98, 77
50, 8070, 614, 521, 795
51, 8070, 614, 521, 795
52, 8070, 614, 521, 795
53, 8070, 614, 521, 795
54, 8070, 614, 521, 795
55, 8070, 614, 521, 795
56, 8070, 614, 521, 795
57, 8070, 614, 521, 795
58, 8070, 614, 521, 795
59, 8070, 614, 521, 795
60, 6949, 296, 435, 2320
61, 6949, 296, 435, 2320
62, 6949, 296, 435, 2320
63, 6949, 296, 435, 2320
64, 6949, 296, 435, 2320
65, 6949, 296, 435, 2320
66, 6949, 296, 435, 2320
67, 6949, 296, 435, 2320
68, 6949, 296, 435, 2320
69, 6949, 296, 435, 2320
70, 6949, 296, 435, 2320
71, 6949, 296, 435, 2320
72, 6949, 296, 435, 2320
73, 6949, 296, 435, 2320
74, 6949, 296, 435, 2320
75, 5915, 274, 277, 3534
76, 5915, 274, 277, 3534
77, 5915, 274, 277, 3534
78, 5915, 274, 277, 3534
79, 5915, 274, 277, 3534
80, 5915, 274, 277, 3534
81, 5915, 274, 277, 3534
82, 5915, 274, 277, 3534
83, 5915, 274, 277, 3534
84, 5915, 274, 277, 3534
85, 5915, 274, 277, 3534
86, 5915, 274, 277, 3534
87, 5915, 274, 277, 3534
88, 5915, 274, 277, 3534
89, 5915, 274, 277, 3534
90, 5915, 274, 277, 3534
91, 5915, 274, 277, 3534
92, 5915, 274, 277, 3534
93, 5915, 274, 277, 3534
94, 5915, 274, 277, 3534
95, 5915, 274, 277, 3534
96, 5915, 274, 277, 3534
97, 5915, 274, 277, 3534
98, 5915, 274, 277, 3534
99, 5915, 274, 277, 3534
100, 4664, 163, 150, 5023
101, 4664, 163, 150, 5023
102, 4664, 163, 150, 5023
103, 4664, 163, 150, 5023
104, 4664, 163, 150, 5023
105, 4664, 163, 150, 5023
106, 4664, 163, 150, 5023
107, 4664, 163, 150, 5023
108, 4664, 163, 150, 5023
109, 4664, 163, 150, 5023
110, 4664, 163, 150, 5023
111, 4664, 163, 150, 5023
112, 4664, 163, 150, 5023
113, 4664, 163, 150, 5023
114, 4664, 163, 150, 5023
115, 4664, 163, 150, 5023
116, 4664, 163, 150, 5023
117, 4664, 163, 150, 5023
118, 4664, 163, 150, 5023
119, 4664, 163, 150, 5023
120, 4664, 163, 150, 5023
121, 4664, 163, 150, 5023
122, 4664, 163, 150, 5023
123, 4664, 163, 150, 5023
124, 4664, 163, 150, 5023
125, 4664, 163, 150, 5023
126, 4664, 163, 150, 5023
127, 4664, 163, 150, 5023
128, 4664, 163, 150, 5023
129, 4664, 163, 150, 5023
130, 4664, 163, 150, 5023
131, 4664, 163, 150, 5023
132, 4664, 163, 150, 5023
133, 4664, 163, 150, 5023
134, 4664, 163, 150, 5023
135, 4664, 163, 150, 5023
136, 4664, 163, 150, 5023
137, 4664, 163, 150, 5023
138, 4664, 163, 150, 5023
139, 4664, 163, 150, 5023
140, 4664, 163, 150, 5023
141, 4664, 163, 150, 5023
142, 4664, 163, 150, 5023
143, 4664, 163, 150, 5023
144, 4664, 163, 150, 5023
145, 4664, 163, 150, 5023
146, 4664, 163, 150, 5023
147, 4664, 163, 150, 5023
148, 4664, 163, 150, 5023
149, 4664, 163, 150, 5023
150, 3615, 53, 51, 6281
151, 3615, 53, 51, 6281
152, 3615, 53, 51, 6281
153, 3615, 53, 51, 6281
154, 3615, 53, 51, 6281
155, 3615, 53, 51, 6281
156, 3615, 53, 51, 6281
157, 3615, 53, 51, 6281
158, 3615, 53, 51, 6281
159, 3615, 53, 51, 6281
160, 3615, 53, 51, 6281
161, 3615, 53, 51, 6281
162, 3615, 53, 51, 6281
163, 3615, 53, 51, 6281
164, 3615, 53, 51, 6281
165, 3615, 53, 51, 6281
166, 3615, 53, 51, 6281
167, 3615, 53, 51, 6281
168, 3615, 53, 51, 6281
169, 3615, 53, 51, 6281
170, 3615, 53, 51, 6281
171, 3615, 53, 51, 6281
172, 3615, 53, 51, 6281
173, 3615, 53, 51, 6281
174, 3615, 53, 51, 6281
175, 3615, 53, 51, 6281
176, 3615, 53, 51, 6281
177, 3615, 53, 51, 6281
178, 3615, 53, 51, 6281
179, 3615, 53, 51, 6281
180, 3615, 53, 51, 6281
181, 3615, 53, 51, 6281
182, 3615, 53, 51, 6281
183, 3615, 53, 51, 6281
184, 3615, 53, 51, 6281
185, 3615, 53, 51, 6281
186, 3615, 53, 51, 6281
187, 3615, 53, 51, 6281
188, 3615, 53, 51, 6281
189, 3615, 53, 51, 6281
190, 3615, 53, 51, 6281
191, 3615, 53, 51, 6281
192, 3615, 53, 51, 6281
193, 3615, 53, 51, 6281
194, 3615, 53, 51, 6281
195, 3615, 53, 51, 6281
196, 3615, 53, 51, 6281
197, 3615, 53, 51, 6281
198, 3615, 53, 51, 6281
199, 3615, 53, 51, 6281
200, 3615, 53, 51, 6281
201, 3615, 53, 51, 6281
202, 3615, 53, 51, 6281
203, 3615, 53, 51, 6281
204, 3615, 53, 51, 6281
205, 3615, 53, 51, 6281
206, 3615, 53, 51, 6281
207, 3615, 53, 51, 6281
208, 3615, 53, 51, 6281
209, 3615, 53, 51, 6281
210, 3615, 53, 51, 6281
211, 3615, 53, 51, 6281
212, 3615, 53, 51, 6281
213, 3615, 53, 51, 6281
214, 3615, 53, 51, 6281
215, 3615, 53, 51, 6281
216, 3615, 53, 51, 6281
217, 3615, 53, 51, 6281
218, 3615, 53, 51, 6281
219, 3615, 53, 51, 6281
220, 3615, 53, 51, 6281
221, 3615, 53, 51, 6281
222, 3615, 53, 51, 6281
223, 3615, 53, 51, 6281
224, 3615, 53, 51, 6281
225, 3615, 53, 51, 6281
226, 3615, 53, 51, 6281
227, 3615, 53, 51, 6281
228, 3615, 53, 51, 6281
229, 3615, 53, 51, 6281
