day, S, E, I, R
0, 5000, 0, 0, 0
1, 4994, 6, 0, 0
2, 4994, 6, 0, 0
3, 4994, 5, 1, 0
4, 4991, 5, 4, 0
5, 4981, 13, 6, 0
6, 4975, 19, 6, 0
7, 4968, 25, 7, 0
8, 4953, 35, 12, 0
9, 4935, 44, 20, 1
10, 4904, 70, 21, 5
11, 4873, 92, 29, 6
12, 4807, 142, 45, 6
13, 4723, 202, 68, 7
14, 4623, 273, 90, 14
15, 4498, 357, 123, 22
16, 4327, 461, 184, 28
17, 4076, 616, 270, 38
18, 3750, 830, 365, 55
19, 3430, 1021, 467, 82
20, 3054, 1202, 632, 112
21, 2624, 1362, 862, 152
22, 2154, 1510, 1095, 241
23, 1717, 1611, 1335, 337
24, 1384, 1551, 1619, 446
25, 1091, 1382, 1932, 595
26, 871, 1177, 2136, 816
27, 676, 946, 2296, 1082
28, 570, 744, 2275, 1411
29, 497, 535, 2185, 1783
30, 423, 391, 2011, 2175
31, 373, 274, 1741, 2612
32, 340, 205, 1416, 3039
33, 318, 156, 1104, 3422
34, 301, 111, 856, 3732
35, 291, 74, 626, 4009
36, 277, 55, 456, 4212
37, 266, 44, 339, 4351
38, 260, 41, 241, 4458
39, 257, 30, 183, 4530
40, 254, 18, 133, 4595
41, 249, 15, 97, 4639
42, 248, 10, 67, 4675
43, 246, 9, 55, 4690
44, 246, 8, 46, 4700
45, 243, 5, 37, 4715
46, 239, 8, 26, 4727
47, 238, 9, 15, 4738
48, 238, 8, 12, 4742
49, 237, 4, 14, 4745
50, 237, 2, 14, 4747
51, 237, 1, 12, 4750
52, 237, 0, 10, 4753
53, 237, 0, 9, 4754
54, 237, 0, 7, 4756
55, 236, 1, 5, 4758
56, 235, 2, 1, 4762
57, 235, 2, 1, 4762
58, 235, 2, 0, 4763
59, 235, 1, 1, 4763
60, 235, 0, 2, 4763
61, 235, 0, 2, 4763
62, 235, 0, 2, 4763
63, 235, 0, 2, 4763
64, 235, 0, 2, 4763
65, 235, 0, 1, 4764
66, 235, 0, 0, 4765
