time, P1, S1, P2, S2
0.01, 803, E, 4027, S
0.01, 1261, S, 2658, E
0.02, 2658, E, 4321, S
0.03, 2658, E, 4610, S
0.03, 1401, S, 2559, E
0.06, 803, E, 2536, S
0.07, 2658, E, 4109, S
0.08, 2658, E, 2660, S
0.12, 2658, E, 2706, S
0.12, 1083, S, 3465, E
0.16, 1222, S, 2658, E
0.17, 803, E, 805, S
0.23, 803, E, 4160, S
0.24, 2303, E, 2304, S
0.24, 2376, S, 2658, E
0.28, 2556, S, 2559, E
0.30, 3465, E, 3466, S
0.31, 2657, S, 2658, E
0.33, 2558, S, 2559, E
0.34, 803, E, 4161, S
0.34, 803, E, 2762, S
0.39, 71, S, 2658, E
0.41, 2555, S, 2559, E
0.41, 2435, S, 2437, E
0.49, 3463, S, 3465, E
0.54, 2293, S, 2658, E
0.60, 2033, S, 3465, E
0.61, 2656, S, 2658, E
0.62, 2658, E, 4113, S
0.62, 803, E, 2260, S
0.63, 2557, S, 2559, E
0.64, 3464, S, 3465, E
0.65, 2303, E, 2838, S
0.67, 2437, E, 2438, S
0.68, 2658, E, 3248, S
0.70, 2436, S, 2437, E
0.72, 803, E, 804, S
0.73, 2303, E, 4748, S
0.73, 2303, E, 2305, S
0.76, 2559, E, 2560, S
0.77, 531, S, 803, E
0.79, 2554, S, 2559, E
0.83, 665, S, 2658, E
0.83, 2303, E, 3593, S
0.84, 2658, E, 2659, S
0.85, 803, E, 2742, S
0.85, 1312, S, 2658, E
0.88, 2553, S, 2559, E
0.88, 1661, S, 3465, E
0.92, 1941, S, 2658, E
0.95, 803, E, 2830, S
1.00, 2658, E, 4321, S
1.01, 2658, E, 4109, S
1.07, 531, S, 803, E
1.08, 665, S, 2658, E
1.10, 3465, E, 3466, S
1.15, 2555, S, 2559, E
1.16, 2553, S, 2559, E
1.17, 2303, E, 2304, S
1.19, 1222, S, 2658, E
1.24, 803, E, 2260, S
1.27, 71, S, 2658, E
1.28, 3463, S, 3465, E
1.30, 2556, S, 2559, E
1.30, 1941, S, 2658, E
1.32, 2293, S, 2658, E
1.33, 803, E, 2742, S
1.35, 2435, S, 2437, E
1.35, 803, E, 4160, S
1.38, 2658, E, 2660, S
1.39, 2558, S, 2559, E
1.40, 1261, S, 2658, E
1.43, 2436, S, 2437, E
1.50, 2303, E, 2305, S
1.53, 803, E, 4027, S
1.54, 1083, S, 3465, E
1.56, 1401, S, 2559, E
1.58, 2376, S, 2658, E
1.61, 803, E, 2536, S
